綜藝生活,#genre#
第1商業台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv104
Taiwan-Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/ap-northeast-1/6282251407001/profile_0/chunklist.m3u8
Taiwan-Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/ap-northeast-1/6282251407001/profile_1/chunklist.m3u8
Taiwan-Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
环球电视台,https://zb.xzxwhcb.com:9999/hls/world.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

新聞,#genre#
中天新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv009
民視新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=litv-ftv13
台視新聞,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv051
華視新聞,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv052
中視新聞,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv074
鏡電視新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv075
東森新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv152
TVBS新聞,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv072
半島國際新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=litv-ftv10
寰宇新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=litv-longturn14
寰宇新聞台灣台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=litv-longturn15
非凡新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv010

財經頻道,#genre#
寰宇財經台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=litv-longturn23
東森財經新聞台,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv153
台視財經,https://o0ous.o0o0o0o0o0o.top/hiiinet/002PVHTX5.php?id=4gtv-4gtv056
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,https://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
Bloomberg TV+ UHD (2160p),https://bloomberg-bloombergtv-1-us.samsung.wurl.tv/manifest/playlist.m3u8

英語頻道,#genre#
CNAnews,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNAnews,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CBN-News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/us-east-1/734546207001/profile_0/chunklist.m3u8
CBN-News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
NHK-World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_2M.m3u8
NHK-World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
fox-news-now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
fox-news-now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
Newsmax2,https://nmxlive.akamaized.net/hls/live/529965/Live_1/1.m3u8
Newsmax2,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
abcnews1,https://abcnews-streams.akamaized.net/hls/live/2023560/abcnews1/master_4000.m3u8
abcnews1,https://abcnews-streams.akamaized.net/hls/live/2023560/abcnews1/master.m3u8
cnbc,https://cnbc-live.akamaized.net/cnbc/master_1080p.m3u8
cnbc,https://cnbc-live.akamaized.net/cnbc/master.m3u8

NTDnews,https://ntd02.akamaized.net/NTDA/tracks-v4a1/mono.m3u8
NTDnews,https://ntd02.akamaized.net/NTDA/index.m3u8
NTDnews(2),https://ntd02.akamaized.net/NTD-West/tracks-v4a1/mono.m3u8
NTDnews(2),https://ntd02.akamaized.net/NTD-West/index.m3u8
BBC America,https://uni8rtmp.tulix.tv/cfntv/cfntv/chunklist_w492485040.m3u8
BBC America,https://uni8rtmp.tulix.tv/cfntv/cfntv/playlist.m3u8
DCCouncilChannel.htm,https://video.oct.dc.gov/out/u/15_12.m3u8

AJE,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
marquee1,https://marqueelive.akamaized.net/live-pz/a/hls-itc/marquee1/v0-481.m3u8
marquee1,https://marqueelive.akamaized.net/live-pz/a/hls-itc/marquee1/index.m3u8
